ICAO,IATA,Name,City,Province,Country,Lat,Lon,Elev,OffUTC,OffDST,TZone
KZ,36WI,HOLLAND AIR PARK,,WISCONSIN,USA,44.032183,-91.299592,730,-6,-5,America/Menominee
KZ,37F,MUNDAY MUNI,,TEXAS,USA,33.484817,-99.586194,1473,-6,-5,America/Indiana/Tell_City
KZ,37T,CALICO ROCK IZARD CO,,ARKANSAS,USA,36.165653,-92.145236,720,-6,-5,America/Indiana/Tell_City
KZ,37V,ARAPAHOE MUNI,,NEBRASKA,USA,40.33945,-99.906514,2270,-6,-5,America/North_Dakota/New_Salem
KZ,38AZ,BEDARD FLD,,ARIZONA,USA,36.471664,-110.417919,6547,-7,-6,America/Shiprock
KZ,38CA,CASHEN,,CALIFORNIA,USA,35.691625,-119.488731,225,-8,-7,America/Los_Angeles
KZ,38D,SALEM AIRPARK INC,,OHIO,USA,40.948083,-80.862083,1162,-5,-4,America/Detroit
KZ,38J,HEMINGWAY STUCKEY,,SOUTH CAROLINA,USA,33.728639,-79.515975,54,-5,-4,America/Kentucky/Monticello
KZ,38S,DEER LODGE CITY COUNTY,,MONTANA,USA,46.388817,-112.766983,4689,-7,-6,America/Boise
KZ,38U,WAYNE WONDERLAND,,UTAH,USA,38.362481,-111.596017,7023,-7,-6,America/Shiprock
KZ,38XS,SAN RAFAEL RANCH,,TEXAS,USA,26.819833,-98.486278,315,-6,-5,America/Indiana/Tell_City
KZ,39N,PRINCETON,,NEW JERSEY,USA,40.399167,-74.658889,125,-5,-4,America/New_York
KZ,39TE,SEMINOLE SPRAYING SVC,,TEXAS,USA,32.718161,-102.738247,3372,-6,-5,America/Indiana/Tell_City
KZ,3A1,FOLSOM FLD,,ALABAMA,USA,34.268769,-86.858333,963,-6,-5,America/Indiana/Tell_City
KZ,3A2,NEW TAZEWELL MUNICIPAL,,TENNESSEE,USA,36.410083,-83.555461,1179,-5,-4,America/Kentucky/Monticello
KZ,3A4,SOUTHEAST GREENSBORO,,NORTH CAROLINA,USA,35.941981,-79.685522,737,-5,-4,America/Kentucky/Monticello
KZ,3A7,EUTAW MUNI,,ALABAMA,USA,32.820964,-87.862514,170,-6,-5,America/Indiana/Tell_City
KZ,3AU,AUGUSTA MUNI,,KANSAS,USA,37.671628,-97.077872,1328,-6,-5,America/Indiana/Tell_City
KZ,3AZ5,HUALAPAI,,ARIZONA,USA,35.572217,-113.292431,5317,-7,-7,America/Phoenix
KZ,3B0,SOUTHBRIDGE MUNI,,MASSACHETTS,USA,42.100928,-72.038408,697,-5,-4,America/New_York
KZ,3B1,GREENVILLE MUNI,,MAINE,USA,45.463028,-69.551611,1401,-5,-4,America/New_York
KZ,3B2,MARSHFIELD,,MASSACHETTS,USA,42.098331,-70.672225,11,-5,-4,America/New_York
KZ,3B3,STERLING,,MASSACHETTS,USA,42.425917,-71.792861,459,-5,-4,America/New_York
KZ,3B4,LITTLEBROOK AIR PARK,,MAINE,USA,43.143142,-70.772275,130,-5,-4,America/New_York
KZ,3B5,TWITCHELL,,MAINE,USA,44.188944,-70.232861,356,-5,-4,America/New_York
KZ,3B9,CHESTER,,CONNECTICUT,USA,41.383903,-72.505894,416,-5,-4,America/New_York
KZ,3BS,JACK BARSTOW,,MICHIGAN,USA,43.662917,-84.261325,636,-5,-4,America/Detroit
KZ,3CA4,WILLETT FIELD,,CALIFORNIA,USA,36.201064,-120.08625,353,-8,-7,America/Los_Angeles
KZ,3CK,LAKE IN THE HILLS,,ILLINOIS,USA,42.206803,-88.323042,888,-6,-5,America/Chicago
KZ,3CM,JAMES CLEMENTS MUNI,,MICHIGAN,USA,43.546917,-83.895503,586,-5,-4,America/Detroit
KZ,3CU,CABLE UNION,,WISCONSIN,USA,46.19425,-91.246411,1360,-6,-5,America/Menominee
KZ,3D4,FRANKFORT DOW MEM,,MICHIGAN,USA,44.625219,-86.200808,632,-5,-4,America/Detroit
KZ,3DW,DOWNTOWN,,MISSOURI,USA,37.221714,-93.247686,1374,-6,-5,America/Indiana/Tell_City
KZ,3F2,CISCO MUNI,,TEXAS,USA,32.416797,-99.000344,1612,-6,-5,America/Indiana/Tell_City
KZ,3F3,DE SOTO PARISH,,LOUISIANA,USA,32.073461,-93.765517,324,-6,-5,America/Indiana/Tell_City
KZ,3F4,VIVIAN,,LOUISIANA,USA,32.861333,-94.010156,260,-6,-5,America/Indiana/Tell_City
KZ,3F6,DAN E RICHARDS MUNI,,TEXAS,USA,34.027633,-100.282003,1860,-6,-5,America/Indiana/Tell_City
KZ,3F7,JONES MEM,,OKLAHOMA,USA,35.806853,-96.421856,851,-6,-5,America/Indiana/Tell_City
KZ,3F9,MINEOLA WISENER FLD,,TEXAS,USA,32.676694,-95.510806,429,-6,-5,America/Indiana/Tell_City
